anio,mes,total_exportacion_usd,prod_pri_exportacion_usd,origen_agro,origen_ind,combustible_y_energia,departamento_nombre
2023,mayo,3940597.0,3764703.0,153494.0,0.0,22400.0,Ushuaia
2023,junio,7977611.0,5954200.0,2023411.0,0.0,0.0,Ushuaia
2023,julio,9032225.0,7462658.0,1569566.0,0.0,0.0,Ushuaia
2023,agosto,3970943.0,2442470.0,1528473.0,0.0,0.0,Ushuaia
2023,septiembre,6531149.0,5747526.0,783623.0,0.0,0.0,Ushuaia
2023,octubre,1700396.0,56619.0,482706.0,0.0,1161071.18,Ushuaia
2023,noviembre,17477567.0,1106505.95,1520490.91,0.0,14850570.51,Ushuaia
2023,diciembre,29974466.0,5402294.0,4966906.0,0.0,19605266.0,Ushuaia
2017,enero,118334.49,0.0,0.0,118334.49,0.0,Río Grande
2017,febrero,6574.99,0.0,0.0,6574.99,0.0,Río Grande
2017,marzo,386758.81,0.0,0.0,386758.81,0.0,Río Grande
2017,abril,2079780.64,0.0,0.0,2079780.64,0.0,Río Grande
2017,mayo,2548560.42,0.0,0.0,2548560.42,0.0,Río Grande
2017,junio,2070403.6,0.0,0.0,2070403.6,0.0,Río Grande
2017,julio,2042200.6,0.0,0.0,2042200.6,0.0,Río Grande
2017,agosto,8887857.94,0.0,0.0,656027.08,8231830.86,Río Grande
2017,septiembre,6513199.06,0.0,0.0,15567.2,6497631.86,Río Grande
2017,octubre,6593238.45,0.0,0.0,1089599.4,5503639.05,Río Grande
2017,noviembre,498928.9,0.0,0.0,498928.9,0.0,Río Grande
2017,diciembre,10773505.0,0.0,0.0,146240.73,10627264.27,Río Grande
2018,enero,14493464.8,0.0,0.0,244503.0,14248961.8,Río Grande
2018,febrero,23734689.15,0.0,0.0,107525.0,23627164.15,Río Grande
2018,marzo,6570816.12,0.0,0.0,279997.56,6290818.56,Río Grande
2018,abril,9882847.22,0.0,0.0,504915.73,9377931.49,Río Grande
2018,mayo,15338340.54,0.0,0.0,1082742.09,14255598.45,Río Grande
2018,junio,22592340.25,0.0,0.0,2194582.36,20397757.89,Río Grande
2018,julio,8820797.32,0.0,0.0,913262.4,7907534.92,Río Grande
2018,agosto,18410494.03,0.0,0.0,424966.1,17985527.93,Río Grande
2018,septiembre,10214673.86,0.0,0.0,501465.09,9713208.77,Río Grande
2018,octubre,16917311.68,0.0,0.0,818562.73,16098748.95,Río Grande
2018,noviembre,30394095.61,0.0,0.0,1437779.86,28956315.75,Río Grande
2018,diciembre,22336119.7,0.0,0.0,1934344.27,20401775.43,Río Grande
2019,enero,17128818.69,0.0,0.0,252412.75,16876405.94,Río Grande
2019,febrero,22890079.94,0.0,0.0,1575432.41,21314647.53,Río Grande
2019,marzo,17937528.5,0.0,0.0,1688829.45,16248699.05,Río Grande
2019,abril,29450088.75,0.0,0.0,2790765.04,26659323.71,Río Grande
2019,mayo,21682704.7,886.21,0.0,2450787.21,19231031.28,Río Grande
2019,junio,29042797.39,0.0,0.0,2135583.99,26907213.4,Río Grande
2019,julio,17004478.49,0.0,0.0,31760.6,16972717.89,Río Grande
2019,agosto,6788074.02,0.0,0.0,88408.18,6699665.84,Río Grande
2019,septiembre,12144789.51,0.0,0.0,1358555.64,10786233.87,Río Grande
2019,octubre,21054374.45,0.0,0.0,386593.91,20667780.54,Río Grande
2019,noviembre,9125827.74,0.0,0.0,288645.93,8837181.81,Río Grande
2019,diciembre,13416181.67,0.0,0.0,2712123.43,10704058.24,Río Grande
2020,enero,14895707.93,0.0,15139.07,1986471.14,12894097.72,Río Grande
2020,febrero,11877830.54,0.0,14707.31,859193.22,11003930.01,Río Grande
2020,marzo,7913983.61,0.0,0.0,1362731.73,6551251.88,Río Grande
2020,abril,8160294.96,0.0,0.0,2599159.41,5561135.55,Río Grande
2020,mayo,4504535.66,0.0,0.0,2416373.05,2088162.61,Río Grande
2020,junio,11548305.52,0.0,0.0,2075180.24,9473125.28,Río Grande
2020,julio,9714897.83,0.0,21973.23,1216505.58,8476419.02,Río Grande
2020,agosto,5012154.53,0.0,57360.96,1178490.89,3776302.68,Río Grande
2020,septiembre,19026081.49,0.0,20266.17,3722565.24,15283250.08,Río Grande
2020,octubre,7634663.28,0.0,28308.68,699872.87,6906481.73,Río Grande
2020,noviembre,10300224.24,0.0,115933.43,432409.92,9751880.89,Río Grande
2020,diciembre,11447855.97,0.0,179343.26,2402296.39,8866216.32,Río Grande
2021,enero,16925524.05,0.0,105340.95,1131401.58,15688781.52,Río Grande
2021,febrero,1994958.82,0.0,130280.08,1502009.88,362668.86,Río Grande
2021,marzo,16530032.15,0.0,173529.29,2946188.58,13410314.28,Río Grande
2021,abril,11594902.57,0.0,128735.85,4138281.35,7327885.37,Río Grande
2021,mayo,28011574.53,0.0,179544.38,4371616.44,23460413.71,Río Grande
2021,junio,28520869.34,0.0,135031.3,5511984.23,22873853.81,Río Grande
2021,julio,55579664.92,0.0,219892.08,25536646.0,29823126.84,Río Grande
2021,agosto,24333527.21,0.0,171593.03,3358589.78,20803344.4,Río Grande
2021,septiembre,5864579.95,0.0,149506.92,1904099.48,3810973.55,Río Grande
2021,octubre,26576472.61,0.0,144313.23,956837.58,25475321.8,Río Grande
2021,noviembre,34056161.61,0.0,249634.97,4009103.05,29797423.59,Río Grande
2021,diciembre,34688127.81,0.0,94676.61,3624411.59,30969039.61,Río Grande
2022,enero,28709140.3,0.0,145547.26,436158.16,28127434.88,Río Grande
2022,febrero,30555032.92,0.0,189894.71,3033103.71,27332034.5,Río Grande
2022,marzo,13691126.8,0.0,181971.42,2455283.7,11053871.68,Río Grande
2022,abril,24689460.52,0.0,211517.39,2883201.13,21594742.0,Río Grande
2022,mayo,20841899.18,0.0,236211.72,4242810.51,16362876.95,Río Grande
2022,junio,28982005.57,0.0,217117.11,4888300.47,23876587.99,Río Grande
2022,julio,42941951.22,0.0,309009.8,5297371.95,37335569.47,Río Grande
2022,agosto,14943743.36,0.0,275203.1,1932346.13,12736194.13,Río Grande
2022,septiembre,30971819.92,0.0,263397.85,1872177.2,28836244.87,Río Grande
2022,octubre,8713269.87,0.0,196428.82,55614.76,8461226.29,Río Grande
